931 935
911 616 283
454 279 -87
36 839 430
452 373 -205
586 500 160
837 338 930
189 750 -117
854 53 988
685 814 841
652 503 570
249 925 670
231 723 252
74 463 797
476 349 473
557 174 -267
370 221 725
603 905 390
649 54 -27
450 455 -633
651 375 345
420 601 647
154 197 923
205 107 710
30 716 515
753 324 111
588 385 -12
183 522 -647
635 186 -458
89 101 855
104 896 166
592 324 460
125 691 -793
286 480 -229
64 874 935
340 618 846
282 456 -748
442 242 -912
857 387 815
133 605 126
703 696 -384
659 538 -391
740 642 164
537 777 354
204 371 344
558 577 322
519 624 -994
504 170 -363
248 326 -860
236 771 499
409 374 -589
16 156 93
754 900 876
53 573 -136
802 298 -277
348 809 319
70 684 995
353 307 90
533 371 -48
115 389 -499
274 766 410
178 16 798
630 751 -286
611 334 88
365 78 -819
926 353 -922
246 176 -761
155 911 560
745 687 132
178 576 459
486 894 622
419 134 534
325 80 904
13 19 -626
325 650 -266
257 243 -737
545 223 -245
742 722 -397
741 558 -440
836 810 -29
507 557 -355
923 346 -806
282 912 216
530 320 89
707 155 796
109 171 129
411 295 461
681 275 305
132 771 378
794 427 752
502 347 -166
407 194 845
525 690 472
271 199 298
171 161 -16
655 370 -664
179 819 773
51 424 -366
920 33 -175
475 715 585
393 817 -457
892 54 305
713 928 -645
83 124 -366
307 253 -985
294 186 172
556 34 -213
837 524 661
870 430 -953
573 921 283
434 552 748
663 200 -157
494 912 -220
741 222 580
362 600 526
492 838 -472
255 652 -569
282 627 729
720 835 915
713 528 469
46 472 709
526 463 269
373 792 -419
650 364 292
497 177 -579
625 384 -335
287 634 -300
526 913 -843
216 776 -455
491 522 -981
313 392 528
100 59 549
548 23 -169
421 881 877
659 462 668
356 894 960
125 443 317
640 38 -130
628 153 -586
392 931 115
772 218 -862
128 591 -192
831 887 981
255 764 -733
685 920 -550
889 402 169
460 458 -187
834 750 -840
177 927 -707
587 799 -627
718 115 143
334 675 434
446 760 -544
801 420 590
431 102 -459
268 665 -374
872 365 -401
739 606 -924
289 304 -677
488 581 896
705 889 474
236 128 -391
555 170 -437
432 604 612
416 419 724
644 626 -506
778 876 -652
612 655 -127
646 74 -368
23 286 78
353 373 -242
360 577 -801
731 56 -714
243 285 -561
736 785 -671
738 714 -387
588 286 -908
923 255 -394
363 602 -557
452 567 -790
594 850 -341
289 693 -45
256 745 -187
553 209 -224
447 849 576
836 327 79
254 55 -977
801 359 96
291 887 871
106 532 -936
599 358 237
232 771 849
852 422 -549
57 914 -424
182 627 147
704 610 417
71 30 -71
417 53 916
46 562 -49
512 892 -753
356 202 772
435 712 -889
291 748 -735
793 261 -990
666 95 -396
745 133 982
686 852 655
346 322 498
152 786 249
782 476 -954
897 304 151
891 671 32
897 647 505
182 850 -955
259 668 -52
26 58 968
711 719 -810
530 524 -720
452 450 -563
478 913 -339
627 275 983
810 660 -68
152 352 -515
555 667 390
98 739 -750
720 847 387
31 644 -877
782 431 470
307 883 32
18 632 455
460 449 306
476 344 640
485 632 -209
693 548 378
309 866 765
686 53 -879
113 446 625
564 385 871
414 304 -887
73 172 371
341 816 -435
96 222 71
290 288 387
667 710 -958
521 150 -712
444 637 473
802 336 -34
550 354 -68
151 409 -879
762 549 -773
819 534 531
177 617 -635
78 53 391
87 514 -799
827 687 222
730 445 211
816 133 476
113 221 -166
740 899 330
184 297 785
193 811 -802
507 37 371
408 143 -56
452 870 904
551 59 -862
342 333 -109
323 141 152
908 883 799
599 377 699
626 108 -683
646 384 -373
630 147 -265
699 125 -35
898 441 -877
258 798 88
792 191 -751
361 559 582
478 183 148
99 385 -893
711 549 -492
318 111 102
35 780 141
56 468 -485
926 625 -743
803 812 139
45 57 -949
160 772 -818
666 126 -924
644 94 -125
632 685 212
488 181 -809
318 172 -97
408 803 -880
751 428 591
871 31 98
744 262 996
401 613 304
767 389 -483
82 329 -810
541 554 933
908 273 -903
27 270 -663
347 45 471
381 631 -918
307 81 -988
64 106 869
