18
898 1862
626 844 145
198 561 274
814 885 665
511 370 397
795 310 672
416 648 837
363 412 155
180 159 340
645 837 909
595 347 321
402 363 179
79 100 588
497 563 893
277 668 23
792 581 735
264 156 139
302 715 930
890 646 537
211 717 735
93 314 582
102 364 560
585 149 111
305 235 480
471 884 613
17 597 682
578 566 948
344 583 24
111 884 62
781 607 335
241 287 189
864 594 277
430 570 269
46 599 69
397 28 495
173 308 701
174 84 500
750 884 641
236 11 588
613 771 109
422 844 797
898 117 151
333 239 384
767 692 549
635 347 57
820 316 759
749 19 956
863 685 722
538 670 203
79 822 711
415 375 428
465 613 699
544 277 439
273 12 305
693 399 249
344 273 467
75 410 202
381 523 85
537 194 41
346 243 641
43 667 432
396 770 875
321 601 860
315 234 762
259 502 306
533 404 469
410 515 236
731 853 740
687 18 306
869 44 819
639 581 371
275 841 49
708 293 13
785 815 650
865 7 460
324 619 989
852 454 201
389 541 4
684 446 257
795 188 955
878 479 416
689 819 294
511 116 952
241 251 496
261 188 119
884 271 903
199 608 504
818 366 902
833 366 504
422 185 616
416 190 788
117 263 354
300 332 950
590 248 679
598 783 584
531 325 985
893 753 486
3 743 455
23 68 351
804 660 172
100 668 390
756 749 848
868 830 902
124 159 57
829 715 954
169 883 414
236 673 703
888 59 928
625 535 122
23 367 73
179 325 508
803 630 726
221 272 800
255 284 139
235 467 260
115 309 668
776 12 657
135 117 772
335 685 282
149 698 520
9 344 1000
384 587 485
758 848 998
536 815 995
460 624 266
531 353 967
759 729 910
742 237 719
795 797 803
655 531 331
790 75 607
189 478 710
645 273 840
196 599 651
130 316 578
6 286 673
76 300 214
510 680 300
106 55 639
635 769 259
32 619 653
464 737 517
302 403 667
82 331 973
832 623 631
30 829 565
369 824 948
401 263 116
246 364 800
647 21 806
157 547 114
301 663 256
311 551 850
507 338 758
402 819 797
297 545 454
216 427 164
394 308 141
601 216 896
237 832 798
305 714 967
409 303 343
698 823 899
408 544 281
475 204 519
245 890 788
380 865 666
602 300 717
649 50 636
771 512 433
884 82 365
461 584 221
405 518 442
574 296 625
212 384 586
774 5 525
782 316 343
20 191 539
504 423 638
621 401 240
441 298 835
