806 2627
103 737 489
352 305 111
500 802 969
672 782 793
321 389 172
267 74 177
82 376 227
171 99 397
341 738 657
533 209 217
719 441 865
588 755 127
569 690 207
791 132 126
668 214 317
517 345 40
659 169 596
579 250 843
316 557 467
465 580 874
777 223 41
717 476 215
249 28 413
295 577 885
152 773 418
129 171 738
724 88 537
797 255 273
535 176 776
245 600 264
512 44 974
802 710 837
390 409 930
63 369 905
764 380 439
572 770 112
653 76 409
225 555 755
664 470 676
253 64 742
389 628 966
94 475 154
19 241 805
621 704 771
644 189 42
619 790 698
719 645 505
689 55 3
639 320 276
367 443 546
207 336 245
406 302 990
225 456 585
264 721 871
136 398 931
385 140 746
523 741 826
297 87 988
619 627 633
759 593 617
189 222 860
298 60 899
269 326 549
248 182 104
707 583 780
34 512 426
518 426 849
382 551 578
739 349 710
87 215 795
729 254 107
642 37 559
679 424 813
268 679 625
443 2 521
275 789 219
315 182 801
360 305 982
397 242 673
26 385 994
805 371 646
645 606 605
316 605 30
154 385 11
100 280 718
91 262 559
213 760 454
502 530 561
785 393 709
391 718 697
411 33 990
361 174 201
245 168 194
253 419 701
138 449 677
644 294 849
335 27 600
274 173 430
393 49 800
30 499 573
318 477 492
225 485 84
158 233 970
462 571 358
346 558 706
225 265 443
342 430 274
104 464 55
316 307 456
395 96 341
614 709 890
87 421 269
767 463 769
487 85 968
136 640 137
307 297 179
673 200 791
280 342 148
731 530 971
407 242 353
88 405 157
81 565 868
471 439 769
53 26 415
529 533 752
97 614 472
783 412 979
544 10 835
77 703 102
319 728 220
227 626 421
763 786 576
736 383 167
337 401 365
640 760 509
674 750 602
635 727 69
342 478 412
292 543 990
93 365 739
504 574 996
21 619 113
394 526 937
640 274 846
409 121 69
611 242 648
252 157 595
295 268 342
230 774 198
297 462 926
655 34 312
401 414 145
278 103 403
530 499 929
229 671 309
495 698 284
711 576 700
473 101 633
484 214 683
460 540 990
804 516 471
155 366 853
542 639 234
794 724 630
30 389 839
593 188 893
114 259 612
709 513 657
469 446 273
251 532 651
713 467 17
546 384 913
300 282 620
739 20 814
574 719 346
75 412 387
293 257 75
93 746 926
103 728 928
338 240 831
245 157 347
163 683 46
376 798 600
656 596 65
803 551 904
534 65 51
73 366 270
148 553 918
533 739 348
708 47 535
276 529 431
563 106 696
8 619 309
737 264 524
308 623 79
638 509 743
231 395 148
737 319 110
290 557 768
90 384 315
152 316 554
580 545 63
166 753 92
448 108 518
105 387 6
555 352 68
551 444 755
790 307 946
590 654 138
250 87 899
661 560 573
635 533 843
393 606 118
789 733 199
378 134 442
435 723 549
279 432 113
428 361 687
647 797 881
522 670 710
31 3 218
547 605 473
234 765 183
622 481 598
115 445 89
604 711 624
554 624 437
264 60 410
201 179 896
285 539 375
712 446 141
644 91 896
383 247 612
149 150 716
124 177 822
239 695 489
663 272 215
619 674 307
67 272 708
474 295 13
607 98 1
216 231 586
469 86 562
628 427 727
493 116 180
208 527 804
144 100 379
362 593 451
558 187 953
433 306 903
443 531 159
725 306 681
749 596 488
767 330 814
128 123 588
564 270 525
304 787 560
188 722 405
380 679 389
349 11 176
188 682 515
454 437 19
521 194 37
231 98 157
517 515 834
326 774 147
597 477 591
447 559 139
175 228 480
544 496 352
152 44 439
693 794 439
134 215 878
116 547 876
367 528 641
557 693 101
256 715 33
384 569 568
503 355 726
532 225 397
390 284 313
130 360 900
802 348 958
521 458 449
585 65 865
583 649 765
17 755 138
68 365 508
95 480 975
199 804 266
583 699 338
367 135 573
569 784 362
482 494 601
166 450 885
783 260 729
33 797 389
410 27 809
230 395 248
767 588 109
751 584 702
467 304 958
468 99 458
75 231 380
43 604 57
8 736 662
122 659 832
391 673 343
462 564 751
795 686 279
312 673 360
563 727 120
317 659 489
638 383 731
736 432 441
368 192 235
570 59 133
466 760 623
361 546 909
740 550 211
105 319 283
517 157 471
729 102 245
644 664 655
164 347 302
168 803 504
39 88 494
296 241 289
562 755 135
238 164 753
338 705 622
637 563 924
295 392 952
652 296 393
668 292 920
121 141 731
324 472 431
318 73 83
681 509 626
422 518 789
75 679 910
395 723 721
88 787 29
17 518 817
478 717 575
36 94 65
324 22 552
507 693 123
787 140 987
633 355 113
672 92 118
342 300 559
260 135 134
769 365 334
306 74 739
173 565 957
556 568 619
690 203 953
318 366 670
603 773 316
427 17 667
26 66 556
617 121 25
313 478 350
80 523 917
799 470 134
216 353 716
460 712 91
565 36 198
635 679 566
17 267 870
463 36 371
746 433 606
299 225 564
627 242 724
746 654 117
342 628 488
79 454 974
102 309 74
257 309 495
510 735 837
89 587 456
526 764 33
266 252 259
685 575 76
309 737 305
162 339 983
742 497 360
26 143 445
381 692 953
408 682 147
451 243 247
442 343 825
311 446 946
364 691 485
638 280 952
406 462 206
738 778 327
164 786 766
346 274 641
112 567 256
85 179 519
66 103 515
724 725 736
97 34 253
425 674 732
29 446 481
131 555 620
666 767 463
729 66 74
242 565 434
558 568 941
271 302 823
716 575 512
750 722 630
245 43 945
451 786 905
7 719 359
756 437 253
531 697 261
52 329 499
226 379 936
110 792 952
367 69 121
477 442 196
364 465 789
109 489 352
584 595 771
297 6 778
192 766 846
551 690 156
718 441 58
377 697 983
87 205 499
388 456 615
423 183 490
509 336 170
706 366 770
718 371 775
77 430 14
388 181 821
484 268 211
400 87 309
378 320 402
480 724 670
229 78 460
310 249 926
19 542 769
660 311 575
705 658 10
199 534 495
659 403 845
376 707 744
299 690 850
515 135 310
493 352 726
76 196 257
151 203 620
409 307 879
749 668 908
738 567 285
681 697 752
188 640 310
394 355 544
392 26 555
203 190 226
183 105 47
227 87 973
55 314 289
278 84 889
430 663 835
123 203 815
68 453 284
616 306 576
183 196 750
763 439 765
517 505 921
208 438 321
394 478 772
250 78 963
514 762 132
580 299 461
202 99 126
407 683 637
395 257 501
796 332 536
19 534 538
100 734 626
757 78 620
651 724 677
793 88 756
265 299 208
182 582 309
551 582 822
448 441 179
82 161 260
79 201 678
392 584 25
225 186 492
