16
819 886
433 273 585
241 486 -341
295 412 718
386 359 436
612 384 960
330 768 720
652 498 -299
366 209 -419
158 291 201
96 429 227
458 596 -638
87 406 805
463 591 -257
214 413 763
208 258 628
334 699 465
693 779 -588
31 78 -108
130 448 744
485 735 -827
409 181 703
546 775 -274
220 543 -277
571 770 222
674 451 -469
727 776 -779
87 241 -893
584 141 -503
546 744 -411
320 360 712
414 70 -61
266 502 762
287 71 237
61 759 676
436 355 -887
727 15 284
695 52 44
689 135 -679
347 18 189
805 54 -619
812 110 352
276 663 621
148 613 854
453 180 495
242 61 -562
745 780 -73
89 640 828
323 1 90
320 12 -561
350 660 767
208 309 211
511 310 180
608 607 -933
415 58 693
239 369 953
224 505 -682
685 318 216
305 109 673
130 359 -943
64 605 292
721 617 847
237 726 413
548 380 939
184 136 -259
341 16 -938
116 360 916
54 412 -477
52 584 -794
256 318 529
200 304 -220
547 320 -465
28 765 510
577 188 -507
580 218 519
487 423 408
394 731 -861
317 357 791
76 376 -305
511 612 755
419 815 -916
348 573 -968
117 392 945
810 730 -547
492 137 441
250 176 -900
107 387 -932
653 524 737
414 545 -141
676 187 -202
250 709 644
747 172 681
713 810 -358
340 254 448
185 771 -49
608 676 231
460 513 262
562 580 271
161 509 -520
179 382 773
615 670 -281
186 102 -154
181 488 -561
430 35 856
339 204 -331
415 380 -520
668 725 -218
484 507 -350
389 304 318
784 333 -29
561 652 -720
647 731 -995
804 347 677
682 28 -240
450 463 -80
78 281 381
789 11 -617
576 332 843
182 505 237
182 666 -775
803 436 44
405 303 -356
556 460 226
443 339 48
354 583 895
491 665 131
462 336 -728
731 812 -891
615 597 735
639 392 -41
381 201 888
475 148 -152
351 703 976
517 516 -685
754 14 -249
677 116 948
307 182 451
571 133 313
367 341 -881
765 685 889
89 22 520
463 708 138
326 310 243
502 479 -951
336 553 -55
278 660 74
125 769 -895
482 222 190
137 9 786
755 503 984
538 516 -742
46 432 280
759 814 -660
642 175 348
426 691 -233
167 168 -969
199 662 -948
525 100 359
644 454 -315
615 175 -46
69 350 -942
196 97 111
758 129 -765
810 729 160
416 415 -848
102 597 360
184 351 -175
30 591 -134
60 110 572
252 672 41
611 626 -325
302 289 -297
443 469 -552
651 148 29
662 351 -932
784 741 -797
384 100 -739
207 652 5
15 707 983
322 337 -964
809 311 995
168 351 -131
541 563 -674
285 338 -992
171 215 -546
17 299 -33
746 536 153
625 473 291
47 762 -313
560 24 787
88 114 -846
541 281 650
646 797 468
397 758 -247
640 563 -210
643 684 -671
33 263 -852
491 423 -765
380 414 427
723 624 161
535 604 472
799 428 -345
648 559 869
22 158 -582
24 661 -701
343 357 937
64 472 914
692 120 606
417 287 56
107 725 -631
220 6 368
461 499 -837
298 64 -517
731 628 714
100 404 302
260 614 -68
478 321 -887
502 253 -284
404 29 824
645 99 -484
657 545 -266
73 86 578
15 581 -565
180 33 915
556 812 -197
53 129 212
473 280 -213
255 219 -27
243 221 -284
153 514 -243
296 704 404
549 819 -111
174 192 -892
132 510 -395
253 268 -312
88 401 456
517 756 -746
803 489 540
439 475 983
214 449 -992
91 630 -594
809 398 -357
536 249 -435
214 435 948
635 739 -141
238 83 289
269 318 8
405 506 654
566 429 -858
108 715 -840
285 328 661
793 338 -358
598 459 -835
409 624 -673
405 320 36
152 404 387
524 695 351
492 273 640
644 538 -18
124 33 484
129 594 71
597 99 -479
454 374 -789
239 31 614
383 24 -268
281 142 -257
630 165 616
567 548 -363
20 364 18
372 424 -139
399 393 -866
730 716 -566
529 225 259
597 191 -734
814 720 -4
591 696 686
699 441 806
579 319 -953
501 688 -393
128 573 652
769 452 481
490 582 457
43 750 -85
368 177 -769
58 682 -204
320 729 -277
374 59 912
341 66 115
215 150 720
3 709 -750
612 79 -267
581 45 128
803 362 -758
785 691 -256
29 605 772
424 329 622
352 761 -652
446 619 600
95 533 -134
482 682 -641
53 114 999
699 630 -282
335 552 131
513 341 603
244 628 978
799 105 6
737 15 -831
676 128 874
803 444 43
650 593 -214
245 479 444
203 569 -732
271 236 922
434 80 237
723 263 395
599 49 -279
348 106 925
428 252 -199
134 502 -983
317 412 619
238 451 -60
261 169 134
617 581 -25
540 364 -961
