8311 24259
5819 3022 -665
3517 7600 871
4792 2534 450
27 3041 331
1441 5082 486
8217 6105 -757
6136 5451 -317
3312 3576 -935
8033 7657 112
5532 66 456
855 3968 678
5005 7077 -255
7189 1416 816
4941 1258 -232
5220 2303 9
4195 7096 -910
7618 2463 -428
7408 2845 -973
6695 7224 952
4092 2173 -723
7557 5805 109
6874 7100 -555
6017 1766 -210
5859 4740 456
2458 4344 -329
1909 7471 -3
3369 1067 -313
195 544 225
3163 634 -407
3323 653 662
2429 4981 885
3689 3374 -790
559 2122 -605
1764 4879 -395
7213 635 680
2622 3101 639
5311 3182 -814
8195 2606 -66
446 649 -133
862 6261 220
6345 1439 -660
130 7513 -701
6198 7265 -162
7781 3210 -41
605 1746 -826
2984 262 778
6903 4269 -399
5665 781 -157
130 5145 907
3198 249 -525
3148 915 -261
6322 1954 -265
6379 4056 890
650 5380 469
4473 1076 -403
5290 2519 -187
290 975 504
5770 5675 667
5426 1209 -264
4187 1889 626
8062 1108 -866
1408 6646 249
4868 4664 211
6722 7559 419
6902 7724 194
5736 5101 621
2636 5165 742
5261 4907 833
469 3030 519
6532 3189 389
6854 2171 -86
864 116 -976
278 4875 -295
2397 1395 -628
4603 6522 -292
7407 3289 111
7844 2087 -322
174 7211 -853
3076 1685 703
141 3851 840
3218 7258 227
6502 3060 -294
1042 6139 296
2498 2345 -262
4204 2571 21
7741 588 836
7410 261 131
2432 3764 -516
1472 967 -576
7315 133 831
3842 1393 -435
4865 3700 -648
4135 739 854
404 5988 179
3015 4573 557
2940 4788 445
2387 882 436
278 7191 126
761 6537 -711
1276 933 -291
532 6386 -263
6108 7405 163
4791 2112 676
784 64 801
3243 6705 -972
1955 7348 -44
8198 2128 376
4765 773 146
3710 7375 -676
7740 6128 363
4196 5500 323
4735 5289 393
7096 6123 -849
7758 5917 806
7789 6067 -503
173 2425 -75
2473 4209 -243
7826 4865 -145
7910 385 513
4763 3560 338
88 2179 689
437 5086 761
1331 124 -668
6332 3367 -393
8091 1959 671
2188 966 729
3974 6891 415
6457 5597 -481
4364 3384 886
5425 8203 409
1982 6306 -995
6321 5056 -102
5555 362 793
735 5239 -341
593 5489 17
2266 2248 409
1014 5225 -640
2799 484 -709
8033 2676 744
2484 3772 -774
1061 6091 329
2072 7861 259
845 2619 27
435 1751 723
2390 2877 329
4445 668 919
5262 6596 -323
5479 2386 737
1968 4875 754
1304 2371 365
1740 99 -760
6989 317 37
7537 649 -157
1799 2785 -692
5087 517 -73
7646 6240 -532
2414 2016 -491
2995 5224 177
6779 6455 -674
859 1354 -900
2894 3186 -839
4197 513 802
7343 973 780
5293 4796 837
1939 5560 -805
272 564 369
157 3764 274
1304 2816 -677
5491 7184 -85
702 3918 175
4866 3974 325
2065 6143 -38
1000 7173 334
5077 5646 -653
1110 595 696
319 8120 -304
7709 872 -601
911 1927 -569
3869 7201 564
7407 3019 765
6870 394 581
2109 3854 -293
7056 882 -352
1483 2828 -832
2054 7565 326
1606 1924 -376
2561 7042 532
1902 5133 -156
6897 621 552
5918 2420 777
7433 7700 -795
4970 3622 958
7667 3151 645
3757 593 614
8219 2499 584
6731 3713 984
6091 7062 -763
5849 5917 -952
3491 518 428
3356 505 -166
116 7345 40
4727 4165 436
646 3532 -856
7938 1465 573
2551 1240 22
2426 505 -530
5228 6709 -21
3773 5390 -294
2493 1856 -608
1474 3541 93
4386 1042 439
1930 4358 -144
2390 5196 883
3122 3535 -135
1897 5812 -19
7138 2792 -171
7041 8042 -907
3833 1710 765
2384 7763 -478
1880 6876 -732
2521 5329 -879
5625 6484 386
837 1841 179
4271 3528 951
5654 5278 246
5642 3587 -366
3347 3673 -642
6556 2720 -882
1626 2858 413
1213 4071 296
4056 2377 -476
6648 3232 -517
1526 2263 -626
1912 7581 -67
6892 209 -192
30 1888 668
3447 2598 657
4912 920 -244
3383 1616 673
2367 4080 -722
7536 2433 461
2600 6298 883
1622 1290 -677
7383 1620 234
5665 2748 607
7325 1389 -886
6416 6857 -45
1324 435 945
3604 4704 266
2101 1557 -140
1899 3193 651
1657 1704 -351
109 4791 562
8022 727 -459
6300 7622 619
6713 3858 -402
7026 2543 42
1379 2398 646
6543 753 923
5033 5858 912
7405 3302 -52
3319 8007 461
4203 5147 -674
5497 7358 846
6224 250 -10
305 5503 -785
6717 2714 -412
200 3827 994
2055 2486 -540
4313 1241 -931
6840 5039 220
3625 7553 862
3731 6594 -513
7911 8246 -354
7895 383 -988
6714 6595 -994
5822 307 778
2485 2853 -892
5497 7341 31
7071 5920 566
6556 4707 -967
5808 4824 259
2908 5506 455
7845 6352 845
6899 2521 112
7779 4196 298
2042 4502 -925
2284 7415 -821
201 1523 114
7504 3558 -748
4094 6289 -761
6051 3844 475
7772 2331 176
1118 3294 -727
6629 175 287
8172 2525 -353
3988 7365 -967
5889 382 -153
6314 4457 761
5672 2495 -922
248 2657 383
2217 789 -457
6159 8287 407
8143 5058 -352
4895 4826 422
1202 3983 830
3941 1523 108
3457 6258 -1
5721 6940 -589
5602 2917 -806
4609 4775 874
3190 7745 47
3263 389 -114
6682 9 912
542 7308 -534
6982 6184 674
5047 835 53
37 7676 887
6509 1349 -441
7615 1518 566
8030 5114 41
3897 7546 722
4470 1712 672
1484 2710 -903
6044 219 295
2049 845 -857
3905 5705 -832
5690 4285 624
4605 7103 307
2826 4519 26
8084 985 19
3866 4511 108
3536 6787 254
6354 6922 -786
992 7307 -585
181 5304 -152
3936 2594 -869
7561 8125 528
5357 2906 -720
7237 3594 -258
5550 1900 887
3651 6166 -149
1233 7871 -57
2869 8022 -499
909 5245 -985
3751 376 -327
7717 7147 335
2854 4600 963
3399 5297 -997
4750 1032 261
7454 5792 74
4551 4310 -707
8132 3742 -963
7619 6841 -635
869 3264 -861
2490 5183 596
1433 2169 -428
6908 5690 305
2925 104 130
8065 1104 861
2320 6585 213
4502 4363 616
6383 8153 -640
3417 826 49
5361 1127 955
6061 4569 -181
2942 2709 -843
4118 6263 -682
1753 5114 -327
3796 5219 -705
426 2489 582
2933 6345 30
6110 2855 -468
5806 6568 -912
1694 496 -577
3533 2743 331
4638 6073 -633
3889 2863 -297
6535 7105 743
2368 7398 -761
2671 6697 -586
6429 2835 -721
7724 6630 -100
5694 4227 191
